Semester,WeekNum,Status
GAV4037-N,7,P
GAV4038-N,7,P
GAV4017-N,7,P
GAV4017-N,8,P
GAV4037-N,8,P
GAV4038-N,9,P
GAV4017-N,8,P
GAV4017-N,9,P
GAV4037-N,8,P
GAV4038-N,13,P
GAV4037-N,13,P
GAV4038-N,12,P
GAV4037-N,12,P
GAV4037-N,11,P
GAV4038-N,12,P
GAV4038-N,11,P
GAV4037-N,13,P
GAV4037-N,12,P
GAV4038-N,13,P
GAV4037-N,10,P
GAV4037-N,10,P
GAV4037-N,9,P
GAV4038-N,10,P
GAV4038-N,9,P
GAV4038-N,11,P
GAV4037-N,11,P
GAV4037-N,9,P
GAV4017-N,10,P
GAV4038-N,10,P
GAV4017-N,9,P
GAV4017-N,10,P
GAV3020-N,6,P
GAV3009-N,2,P
GAV3020-N,3,P
GAV3020-N,6,P
GAV3020-N,5,P
VIS3105-N,4,P
GAV3020-N,4,P
GAV3020-N,4,P
GAV3020-N,5,P
GAV3009-N,5,P
VIS3105-N,5,P
GAV3009-N,3,P
GAV3020-N,4,P
GAV3020-N,2,P
GAV3020-N,3,P
GAV3020-N,3,P
VIS3105-N,3,P
VIS3105-N,3,P
GAV3009-N,2,P
VIS3105-N,8,P
GAV3020-N,7,P
GAV3020-N,7,P
GAV3020-N,8,P
GAV3020-N,8,P
GAV3020-N,11,P
GAV3020-N,9,P
GAV3020-N,9,P
GAV3020-N,12,P
GAV3020-N,13,P
GAV3020-N,13,P
VIS3105-N,13,P
CIS4022-N,6,P
CIS4023-N,6,P
COM4077-N,6,P
COM4077-N,2,P
COM4077-N,5,P
COM4077-N,3,P
CIS4022-N,5,P
CIS4023-N,5,P
CIS4023-N,8,P
CIS4022-N,7,P
CIS4023-N,7,P
CIS4022-N,8,P
CIS4023-N,12,P
CIS4023-N,13,P
CIS4023-N,11,P
CIS4022-N,12,P
CIS4022-N,11,P
CIS4023-N,9,P
CIS4022-N,9,P
COM4077-N,7,P
CIS4022-N,10,P
COM4077-N,10,P
